title | Epic - Book Two: Inheritor of the Stars

author | treave

index

chapter | h3 | Part 14 - Case of the Cursed Songstress, Conclusion | http://www.rpgcodex.net/forums/index.php?posts/2567237
chapter | h3 | Part 15 - Vacation in the North | http://www.rpgcodex.net/forums/index.php?posts/2571570
chapter | h3 | Part 16 - Breakthrough | http://www.rpgcodex.net/forums/index.php?posts/2575706
chapter | h3 | Part 17 - Immortal | http://www.rpgcodex.net/forums/index.php?posts/2579981
chapter | h3 | Chapter End - Dive | http://www.rpgcodex.net/forums/index.php?posts/2584246

chapter | h2 | Chapter Four: World Zero
chapter | h3 | Part 1 - START | http://www.rpgcodex.net/forums/index.php?posts/2595166
chapter | h3 | Part 2 - Gate | http://www.rpgcodex.net/forums/index.php?posts/2600162
chapter | h3 | Part 3 - Field | http://www.rpgcodex.net/forums/index.php?posts/2606363
chapter | h3 | Part 4 - Countdown | http://www.rpgcodex.net/forums/index.php?posts/2612657
chapter | h3 | Part 5 - Connection | http://www.rpgcodex.net/forums/index.php?posts/2614257
chapter | h3 | Chapter End - END | http://www.rpgcodex.net/forums/index.php?posts/2617395

chapter | h2 | Interlude: All That Has Passed | http://www.rpgcodex.net/forums/index.php?posts/2617454

chapter | h2 | Chapter Five: Terra Reborn
chapter | h3 | Part 1 - To The City of Broken Dreams | http://www.rpgcodex.net/forums/index.php?posts/2617815
chapter | h3 | Part 2 - Reunion in the Old Quarter | http://www.rpgcodex.net/forums/index.php?posts/2622957
chapter | h3 | Part 3 - New Seeds | http://www.rpgcodex.net/forums/index.php?posts/2625035
chapter | h3 | Part 4 - House of Knowledge | http://www.rpgcodex.net/forums/index.php?posts/2631613
chapter | h3 | Part 5 - Planting the Seeds of Hope | http://www.rpgcodex.net/forums/index.php?posts/2638946
chapter | h3 | Part 6 - A Winning Proposition | http://www.rpgcodex.net/forums/index.php?posts/2646888
chapter | h3 | Part 7 - The Order of Pithos | http://www.rpgcodex.net/forums/index.php?posts/2652647
chapter | h3 | Part 8 - A Familiar Face | http://www.rpgcodex.net/forums/index.php?posts/2655723
chapter | h3 | Part 9 - One More Month | http://www.rpgcodex.net/forums/index.php?posts/2659017
chapter | h3 | Part 10 - Unseen Threat | http://www.rpgcodex.net/forums/index.php?posts/2666169
chapter | h3 | Part 11 - Ambush | http://www.rpgcodex.net/forums/index.php?posts/2669960
chapter | h3 | Part 12 - The Promise of Entertainment | http://www.rpgcodex.net/forums/index.php?posts/2673454
chapter | h3 | Part 13 - Misjudgement | http://www.rpgcodex.net/forums/index.php?posts/2677693
chapter | h3 | Part 14 - Ultimatum | http://www.rpgcodex.net/forums/index.php?posts/2698670
chapter | h3 | Chapter End - Joining the Fleet | http://www.rpgcodex.net/forums/index.php?posts/2707070

chapter | h2 | Interlude: The League and the Empire | http://www.rpgcodex.net/forums/index.php?posts/2709107

chapter | h2 | Chapter Six: To The Stars and Beyond
chapter | h3 | Part 1 - The Gate of Ean | http://www.rpgcodex.net/forums/index.php?posts/2709272
chapter | h3 | Part 2 - Framejack | http://www.rpgcodex.net/forums/index.php?posts/2714173
chapter | h3 | Part 3 - Into the Fray | http://www.rpgcodex.net/forums/index.php?posts/2716822
chapter | h3 | Part 4 - Turmoil in Space | http://www.rpgcodex.net/forums/index.php?posts/2719457
chapter | h3 | Part 5 - Interlude in the Cracks of Reality | http://www.rpgcodex.net/forums/index.php?posts/2721741
chapter | h3 | Part 6 - Rendezvous Point | http://www.rpgcodex.net/forums/index.php?posts/2727218
chapter | h3 | Part 7 - The Belesis | http://www.rpgcodex.net/forums/index.php?posts/2730432
chapter | h3 | Part 8 - Boarding Party | http://www.rpgcodex.net/forums/index.php?posts/2733951
chapter | h3 | Part 9 - The Tactician | http://www.rpgcodex.net/forums/index.php?posts/2736404
chapter | h3 | Part 10 - Fight or Flight | http://www.rpgcodex.net/forums/index.php?posts/2741120
chapter | h3 | Part 11 - Imperial Crusade | http://www.rpgcodex.net/forums/index.php?posts/2743091
chapter | h3 | Part 12 - Bring on a War | http://www.rpgcodex.net/forums/index.php?posts/2746180
chapter | h3 | Part 13 - Backstory | http://www.rpgcodex.net/forums/index.php?posts/2749221
chapter | h3 | Intermission: The Goddess and the Youth | http://www.rpgcodex.net/forums/index.php?posts/2751104
chapter | h3 | Part 14 - Meeting at Kamabharata | http://www.rpgcodex.net/forums/index.php?posts/2754365
chapter | h3 | Part 15 - Break | http://www.rpgcodex.net/forums/index.php?posts/2756617
chapter | h3 | Part 16 - Tinkering | http://www.rpgcodex.net/forums/index.php?posts/2758558
chapter | h3 | Part 17 - T-Minus Thirty Days | http://www.rpgcodex.net/forums/index.php?posts/2761103
chapter | h3 | Part 18 - Battle at Uranus | http://www.rpgcodex.net/forums/index.php?posts/2762742
chapter | h3 | Part 19 - Man vs Crusade | http://www.rpgcodex.net/forums/index.php?posts/2764769
chapter | h3 | Part 20 - The Real Crusade | http://www.rpgcodex.net/forums/index.php?posts/2767728
chapter | h3 | Part 21 - The Mission | http://www.rpgcodex.net/forums/index.php?posts/2772409
chapter | h3 | Chapter End - The God and the Youth | http://www.rpgcodex.net/forums/index.php?posts/2778019

chapter | h2 | Interlude: Preparations | http://www.rpgcodex.net/forums/index.php?posts/2778794

chapter | h2 | Chapter Seven: Destiny's End
chapter | h3 | Part 1 - Opening: War Council | http://www.rpgcodex.net/forums/index.php?posts/2781054
chapter | h3 | Part 2 - Departure and Arrival: Gelmark | http://www.rpgcodex.net/forums/index.php?posts/2784965
chapter | h3 | Part 3 - Delta Hunt | http://www.rpgcodex.net/forums/index.php?posts/2787355
chapter | h3 | Part 4 - Defector | http://www.rpgcodex.net/forums/index.php?posts/2788846
chapter | h3 | Part 5 - The Belly of the Beast | http://www.rpgcodex.net/forums/index.php?posts/2790969
chapter | h3 | Part 6 - Database Break and Entry | http://www.rpgcodex.net/forums/index.php?posts/2794337
chapter | h3 | Part 7 - Information Medium | http://www.rpgcodex.net/forums/index.php?posts/2795499
