title | Warhammer: 41K
author | root

intro | intro.html

index

chapter | h2 | ACT 1:
chapter | h3 | UPDATE XIV: FIRESTORM OVER CALIXIS | http://www.rpgcodex.net/forums/index.php?posts/1498235
chapter | h3 | UPDATE XV: THAT IS NOT DEAD WHICH CAN ETERNAL LIE | http://www.rpgcodex.net/forums/index.php?posts/1502273
chapter | h3 | UPDATE XVI: THE STORM OF THE EMPEROR'S WRATH | http://www.rpgcodex.net/forums/index.php?posts/1503764
chapter | h3 | UPDATE XVII: BONFIRE OF VANITIES | http://www.rpgcodex.net/forums/index.php?posts/1507375
chapter | h3 | UPDATE XVIII: SYMPATHY FOR THE DEVIL | http://www.rpgcodex.net/forums/index.php?posts/1510094
chapter | h3 | UPDATE XIX: THE ROAD TO HELL | http://www.rpgcodex.net/forums/index.php?posts/1511310
chapter | h3 | UPDATE XX: A GENTLEMAN'S GAME | http://www.rpgcodex.net/forums/index.php?posts/1512936
chapter | h3 | UPDATE XXI: OUT OF THE FRYING PAN | http://www.rpgcodex.net/forums/index.php?posts/1516205
chapter | h3 | UPDATE XXII: AND INTO THE FIRE | http://www.rpgcodex.net/forums/index.php?posts/1517723
chapter | h3 | UPDATE XXIII: THE TRIAL OF MARIUS HAX - PART 1 | http://www.rpgcodex.net/forums/index.php?posts/1519182
chapter | h3 | UPDATE XXIV: THE TRIAL OF MARIUS HAX - PART 2 | http://www.rpgcodex.net/forums/index.php?posts/1519496
chapter | h3 | UPDATE XXV: THE TRIAL OF MARIUS HAX - PART 3 | http://www.rpgcodex.net/forums/index.php?posts/1520739
chapter | h3 | UPDATE XXVI: INNOCENCE PROVES NOTHING | http://www.rpgcodex.net/forums/index.php?posts/1520842
chapter | h3 | UPDATE XXVII: WE WHO ARE ABOUT TO DIE | http://www.rpgcodex.net/forums/index.php?posts/1522112
chapter | h3 | UPDATE XXVIII: HIS RED RIGHT HAND | http://www.rpgcodex.net/forums/index.php?posts/1523400
chapter | h3 | UPDATE XXIX: GHOSTS IN THE MACHINE | http://www.rpgcodex.net/forums/index.php?posts/1524787
chapter | h3 | UPDATE XXX: BAND OF BROTHERS | http://www.rpgcodex.net/forums/index.php?posts/1525006

chapter | h2 | EXTRAS:
chapter | h3 | THE GREAT ENEMY'S CHILDREN | http://www.rpgcodex.net/forums/index.php?posts/1479079
chapter | h3 | THE BETRAYER'S TALE | http://www.rpgcodex.net/forums/index.php?posts/1487190
chapter | h3 | THE BLUE SCRIBES OF TZEENTCH | http://www.rpgcodex.net/forums/index.php?posts/1495514
chapter | h3 | THE FORGES OF MARS | http://www.rpgcodex.net/forums/index.php?posts/1511780
chapter | h3 | CADIAN WALTZ | http://www.rpgcodex.net/forums/index.php?posts/1516651
chapter | h3 | THE NECRONTYR'S TALE | http://www.rpgcodex.net/forums/index.php?posts/1523886
chapter | h3 | A 'WHAT IF' ENDING: BRAVE NEW WORLD | http://www.rpgcodex.net/forums/index.php?posts/1524613

chapter | h2 | INTERLUDE: A SIX PART ADVENTURE WITH A BAND OF BROTHERS!
chapter | h3 | I: ENEMY MINE | http://www.rpgcodex.net/forums/index.php?posts/1532623
chapter | h3 | II: ETERNAL DARKNESS | http://www.rpgcodex.net/forums/index.php?posts/1536141
chapter | h3 | III: A FATHER TO HIS MEN | http://www.rpgcodex.net/forums/index.php?posts/1539272
chapter | h3 | IV: THE HEART OF THE SWARM | http://www.rpgcodex.net/forums/index.php?posts/1545847
chapter | h3 | V: ALL OF LIFE FEARS THE REAPER | http://www.rpgcodex.net/forums/index.php?posts/1548191
chapter | h3 | VI: DELIVERANCE | http://www.rpgcodex.net/forums/index.php?posts/1549928

chapter | h2 | EXTRA:
chapter | h3 | THE WORD OF GOD | http://www.rpgcodex.net/forums/index.php?posts/1548844

chapter | h2 | ACT 3:
chapter | h3 | UPDATE 0: PROLOGUE | http://www.rpgcodex.net/forums/index.php?posts/1558614
chapter | h3 | UPDATE I: THE IMPERIUM OF MAN | http://www.rpgcodex.net/forums/index.php?posts/1560004
chapter | h3 | UPDATE II: THE BOYZ ARE BACK | http://www.rpgcodex.net/forums/index.php?posts/1564687
chapter | h3 | UPDATE III: GORK'LL GET 'EM | http://www.rpgcodex.net/forums/index.php?posts/1567025
chapter | h3 | UPDATE IV: ONE LAST TIME UNTO THE BREACH | http://www.rpgcodex.net/forums/index.php?posts/1569061
chapter | h3 | UPDATE V: USE OF WEAPONS | http://www.rpgcodex.net/forums/index.php?posts/1570297
chapter | h3 | UPDATE VI: JUDGEMENT | http://www.rpgcodex.net/forums/index.php?posts/1570923
chapter | h3 | UPDATE VII: SCOURGE OF GOD | http://www.rpgcodex.net/forums/index.php?posts/1572092
chapter | h3 | UPDATE VIII: VALHALLA BURNING | http://www.rpgcodex.net/forums/index.php?posts/1574826
chapter | h3 | UPDATE IX: BIG DEATH | http://www.rpgcodex.net/forums/index.php?posts/1577654
chapter | h3 | UPDATE X: EBBS AND TIDES | http://www.rpgcodex.net/forums/index.php?posts/1581479
chapter | h3 | UPDATE XI: EXCESSION | http://www.rpgcodex.net/forums/index.php?posts/1582874
chapter | h3 | UPDATE XII: A TALE OF TWO WILLS | http://www.rpgcodex.net/forums/index.php?posts/1585296
chapter | h3 | UPDATE XIII: TOTAL WAR | http://www.rpgcodex.net/forums/index.php?posts/1586487
chapter | h3 | UPDATE XIV: UNFORESEEN CONSEQUENCES | http://www.rpgcodex.net/forums/index.php?posts/1598242
chapter | h3 | UPDATE XV: FACTION CHOICE | http://www.rpgcodex.net/forums/index.php?posts/1602456
chapter | h3 | UPDATE XVI: AND THEY SHALL KNOW NO FEAR | http://www.rpgcodex.net/forums/index.php?posts/1609677
chapter | h3 | UPDATE XVII: PHALANX | http://www.rpgcodex.net/forums/index.php?posts/1615415
chapter | h3 | UPDATE XVIII: GREEN FIELDS OF RYNN | http://www.rpgcodex.net/forums/index.php?posts/1631984
chapter | h3 | UPDATE XIX: ALL IN A DAY'S WORK | http://www.rpgcodex.net/forums/index.php?posts/1641582
chapter | h3 | UPDATE XX: SHIPPING UP TO CHARADON | http://www.rpgcodex.net/forums/index.php?posts/1647382
chapter | h3 | UPDATE XXI: THE EMPEROR'S JUDGEMENT | http://www.rpgcodex.net/forums/index.php?posts/1659974
chapter | h3 | UPDATE XXII: THERE BUT FOR THE GRACE OF GOD | http://www.rpgcodex.net/forums/index.php?posts/1667781

chapter | h2 | EXTRAS:
chapter | h3 | THE DRAGON AND SAINT GEORGE | http://www.rpgcodex.net/forums/index.php?posts/1582974
chapter | h3 | FAVOURED SON | http://www.rpgcodex.net/forums/index.php?posts/1588138
chapter | h3 | WARMASTER | http://www.rpgcodex.net/forums/index.php?posts/1592605
chapter | h3 | CHAOS UNDIVIDED | http://www.rpgcodex.net/forums/index.php?posts/1594752
chapter | h3 | THREADS OF FATE | http://www.rpgcodex.net/forums/index.php?posts/1650608
chapter | h3 | THREADS OF FATE - PART 2 | http://www.rpgcodex.net/forums/index.php?posts/1654871
chapter | h3 | THREADS OF FATE - PART 3: DEUS EX MACHINA | http://www.rpgcodex.net/forums/index.php?posts/1656242

chapter | h2 | ACT 4:
